Failure : 13, Danger : 16, Collison : 6, Success : 139, Average Reward : -3998.8354430379745, Number of steps : 3090
Failure : 8, Danger : 9, Collison : 8, Success : 207, Average Reward : -3721.107623318386, Number of steps : 3069
Failure : 2, Danger : 36, Collison : 4, Success : 146, Average Reward : -2839.4605263157896, Number of steps : 3086
Failure : 14, Danger : 12, Collison : 6, Success : 192, Average Reward : -2974.2728617071803, Number of steps : 3079
Failure : 7, Danger : 38, Collison : 5, Success : 78, Average Reward : -5928.033333333334, Number of steps : 3111
Failure : 7, Danger : 1, Collison : 2, Success : 213, Average Reward : -1034.5315315315315, Number of steps : 3079
Failure : 2, Danger : 27, Collison : 7, Success : 121, Average Reward : -5632.261538461538, Number of steps : 3111
Failure : 12, Danger : 48, Collison : 4, Success : 76, Average Reward : -4673.565217391304, Number of steps : 2748
Failure : 7, Danger : 17, Collison : 12, Success : 182, Average Reward : -6120.905472636816, Number of steps : 3060
Failure : 6, Danger : 21, Collison : 4, Success : 153, Average Reward : -2644.730061349693, Number of steps : 3065
Failure : 5, Danger : 31, Collison : 5, Success : 99, Average Reward : -4857.642201834862, Number of steps : 2803
Failure : 7, Danger : 33, Collison : 4, Success : 117, Average Reward : -3377.953125, Number of steps : 3089
Failure : 12, Danger : 1, Collison : 3, Success : 212, Average Reward : -1452.9823788546255, Number of steps : 3075
Failure : 8, Danger : 15, Collison : 3, Success : 160, Average Reward : -1937.3216374269007, Number of steps : 3098
Failure : 9, Danger : 13, Collison : 8, Success : 158, Average Reward : -4750.051428571429, Number of steps : 3097
Failure : 6, Danger : 1, Collison : 4, Success : 203, Average Reward : -2017.962441314554, Number of steps : 3080
Failure : 19, Danger : 8, Collison : 6, Success : 165, Average Reward : -3319.721052631579, Number of steps : 3035
Failure : 10, Danger : 50, Collison : 7, Success : 68, Average Reward : -8559.988235294117, Number of steps : 2524
Failure : 13, Danger : 5, Collison : 0, Success : 227, Average Reward : -122.53074996073947, Number of steps : 3052
Failure : 12, Danger : 35, Collison : 3, Success : 76, Average Reward : -3634.6703296703295, Number of steps : 2841
Failure : 7, Danger : 12, Collison : 5, Success : 162, Average Reward : -3052.235632183908, Number of steps : 3095
Failure : 7, Danger : 30, Collison : 5, Success : 174, Average Reward : -2854.9139784946237, Number of steps : 3080
Failure : 7, Danger : 3, Collison : 4, Success : 220, Average Reward : -1859.2683982683982, Number of steps : 3075
Failure : 6, Danger : 5, Collison : 2, Success : 206, Average Reward : -1074.5794392523364, Number of steps : 3089
Failure : 13, Danger : 20, Collison : 3, Success : 130, Average Reward : -2274.4520547945203, Number of steps : 3086
Failure : 5, Danger : 20, Collison : 4, Success : 97, Average Reward : -4063.5377358490564, Number of steps : 2931
Failure : 11, Danger : 14, Collison : 1, Success : 114, Average Reward : -1051.1507936507937, Number of steps : 3105
Failure : 9, Danger : 22, Collison : 7, Success : 166, Average Reward : -4015.9285714285716, Number of steps : 3063
Failure : 16, Danger : 13, Collison : 4, Success : 176, Average Reward : -2199.6799983623378, Number of steps : 3091
Failure : 8, Danger : 18, Collison : 2, Success : 162, Average Reward : -1344.6860465116279, Number of steps : 3096
Failure : 9, Danger : 27, Collison : 5, Success : 134, Average Reward : -3596.574324324324, Number of steps : 3118
Failure : 16, Danger : 13, Collison : 7, Success : 184, Average Reward : -3530.4299516908213, Number of steps : 3079
